Model,R²,MAE,MSE,RMSE,Mean_Euclidean_Error
Random Forest,-0.4499310890050717,31.470620518962747,1266.3357399223428,35.58561141700874,47.18025051348638
XGBoost,-0.7773304683279452,32.06291974233947,1526.5888456629768,39.07158616773802,51.6065935800664
Deep Neural Network,-2.873964124656292,48.02771466389481,3245.2337117306797,56.966952803627116,75.77698288601363
