Model,R²,MAE,MSE,RMSE,Mean_Euclidean_Error
Random Forest,-0.4499310890050716,31.470620518962743,1266.3357399223428,35.58561141700874,47.18025051348638
XGBoost,-0.7773304683279452,32.06291974233947,1526.5888456629768,39.07158616773802,51.6065935800664
Deep Neural Network,-2.861062649283303,47.805356949346105,3229.2933612759853,56.82687182377705,75.62530309791647
