Model,R²,MAE,MSE,RMSE,Mean_Euclidean_Error
Random Forest,-0.44993108900507195,31.470620518962747,1266.3357399223428,35.58561141700874,47.18025051348638
XGBoost,-0.7773304683279452,32.06291974233947,1526.5888456629768,39.07158616773802,51.6065935800664
Deep Neural Network,-2.899538413426324,48.39616226230338,3279.1097152964053,57.26351120300261,76.1326302490397
